cust_id,target
239,3.062300000000002
238,3.9301999999999992
170,5.765799999999998
156,7.501600000000003
134,3.4534
218,1.4145
72,2.4977
109,2.3899999999999992
117,1.8253999999999997
32,2.2451999999999974
98,3.6687999999999987
228,2.1708
0,3.029999999999999
196,1.8756999999999993
108,3.2941999999999996
17,2.1939
214,2.6596
9,2.463900000000002
188,3.0997000000000003
152,2.739899999999999
112,4.306200000000003
206,2.9156999999999997
145,1.4213999999999996
16,2.3750999999999975
85,5.126699999999994
55,2.6575000000000006
177,2.4666000000000006
151,2.3667000000000002
198,1.9557999999999998
199,2.0029000000000012
1,2.0536999999999996
46,3.6016000000000004
115,2.8894
21,2.9062999999999994
56,3.4339999999999997
78,2.7718000000000025
82,1.7107999999999999
80,2.5731
160,3.1945000000000006
33,3.3338000000000005
53,1.6301999999999983
70,2.141399999999998
113,3.400100000000001
166,3.6826000000000003
19,3.3827999999999996
144,2.3504
200,2.8685
131,2.6738000000000004
172,2.1601
